1,"Egyptian Steatite Figure of the Lady Iset, Chantress of Sobek",Dinastia 19 / Ramesses I,Bronze,9.1,Egypt,40.6 cm,"wife of the scribe Imen-heru, seated on a cushioned seat with her hands resting on her thighs, and wearing sandals, long wraparound pleated gown clinging to her body and fastened below the chest, bracelets, broad beaded collar, and long wig, parted in the center","../Obiecte/Egypt/Egyptian Steatite Figure of the Lady Iset, Chantress of Sobek.PNG",0,,2021-03-27,2021-09-27
2,"Egyptian Sandstone Relief Fragment, Karnak",Akhenaten / 1350 I.H.,Sandstone,9.4,Egypt,21 x 27.9 x 5.4 cm,"probably from a talatat, carved in sunk relief with two bowing figures, perhaps bent over in toil, part of another register above.","../Obiecte/Egypt/Egyptian Sandstone Relief Fragment, Karnak.PNG",0, ,2021-03-27,2021-09-27
3,Egyptian Limestone Votive Relief Fragment,50 - 100 I.H.,Limestone,8.9,Egypt,16.5 x 17.3 x 5.1 cm,"carved in high relief with the god Tutu in the form of a sphinx, striding to right on a serpent, Maat feathers on his paws, the vulture goddess Nekhbet above.","../Obiecte/Egypt/Egyptian Limestone Votive Relief Fragment.PNG",0,,2021-03-27,2021-09-27
4,Egyptian Polychrome Limestone Relief Fragment,Dinastia 18 / 1540 - 1400 I.H.,Limestone,7.1,Egypt,29 x 33.5 cm,"carved in shallow relief with two lector priests on the day of a burial, the priest on the left pouring libations of purifying water, the priest on the right standing on the stern of a boat that carried the deceased on the voyage to Abydos.","../Obiecte/Egypt/Egyptian Polychrome Limestone Relief Fragment.PNG",0, ,2021-03-27,2021-09-27
5,Egyptian Stucco Votive Bust of a King,Perioada Ptolemaic / 305 - 200 I.H.,Sandstone,6.7,Egypt,15.2 cm,"possibly Ptolemy II Philadelphos (285-246 B.C.), wearing a fragmentary nemes-headcloth with uraeus, his face with mouth rounded at the corners and large eyes with contoured upper lids.","../Obiecte/Egypt/Egyptian Stucco Votive Bust of a King.PNG",0, ,2021-03-27,2021-09-27
6,Egyptian Bronze Figure of Isis with Horus,Dinastia 25 / 750 - 525 I.H.,Bronze,9.4,Egypt,19.4 cm,"seated and holding her child Horus in her lap, and wearing a long close-fitting dress, beaded collar, finely striated tripartite wig with uraeus, vulture headdress, diadem of uraei, and horns and sun-disk (the latter with restoration), her broad face with smiling mouth and large wide-set eyes.","../Obiecte/Egypt/Egyptian Bronze Figure of Isis with Horus.PNG",0, ,2021-03-27,2021-09-27
7,Egyptian Bronze Figure of a Goddess,Dinastia 28 / 664 - 342 I.H.,Bronze,8.5,Egypt,12.4 cm,"probably Isis, standing on a rectangular base with her arms held at her sides, and wearing a long close-fitting dress, bracelets and armlets, broad collar, finely striated tripartite wig passing behind her ears, uraeus, and diadem of uraei surmounted by horns and sun-disk, her face with slightly smiling mouth with full lips, and large eyes with tapering eyebrows.","../Obiecte/Egypt/Egyptian Bronze Figure of a Goddess.PNG",0, ,2021-03-27,2021-09-27
8,Egyptian bronze figure of Osiris,Dinastia 26 / 664 - 525 I.H.,Bronze,8.4,Egypt,37.5 cm,"standing and holding the crook and flail, and wearing a close-fitting cloak, beard and atef-crown with large uraeus and fragmentary plumes.","../Obiecte/Egypt/Egyptian bronze figure of Osiris.PNG",0, ,2021-03-27,2021-09-27
9,Two Egyptian Bronze Ostrich Plumes,716 - 30 I.H.,Bronze,7.7,Egypt,15.9 x 15.7 cm,"from the atef-crown of a large figure of Osiris, each feather resting on a rams horn and flanked by a uraeus crowned by the sun-disk, the tail trailing across the back, a pendent uraeus once suspended below, the details carefully engraved overall, and with traces of glass paste inlay.","../Obiecte/Egypt/Two Egyptian Bronze Ostrich Plumes.PNG",0, ,2021-03-27,2021-09-27
10,Large Egyptian Bronze Figure of Isis with Horus,Dinastia 25 / 750 - 525 I.H.,Bronze,7.9,Egypt,43.2 cm,"the goddess seated with her feet resting on a square foot-stool and holding her son Horus in her lap, and wearing a long close-fitting dress, bracelets and armlets, broad beaded collar, striated tripartite wig with uraeus, and diadem of uraei surmounted by horns and sun-disk, the wig engraved on the back and sides with the vulture goddess Nekhbet holding shen-signs, her son wearing anklets, bracelets and armlets","../Obiecte/Egypt/Large Egyptian Bronze Figure of Isis with Horus.PNG",0, ,2021-03-27,2021-09-27
